No. tar.,No.,Tema, ,Opción A,Opción B,Opción C
,,,,,,
T181,4,"Artes, Deportes y Entretenimientos",Quién se convirtió en 2019 en el máximo goleador en una temporada de la liga de futbol de EE.UU.?,Zlatan Ibrahimovic,Carlos Vela *,Wayne Rooney
,,,,,,
T181,5,Ciencias y Tecnología,¿Según quién el punto de congelamiento del agua se da a una temperatura de 32 grados y el de ebullición a los 212?,Lord Kelvin,Anders Celsius,Gabriel Fahrenheit *
,,,,,,
T181,6,Cultura General,"la gente baila por muchos motivos, ¿quién ejecutó la sensual danza de los siete velos con un siniestro y biblico fin?",Salomé *,Dalila,Scherezada
,,,,,,
T182,1,México,"Lo único real que tenemos en México es esta ave, pero como las monarquías, está en peligro de extinción...",Zorzal real,Águila Real *,Pavo real
,,,,,,
T182,2,Historia Universal,"¿Qué reina se casó, según la tradición, con dos de sus hermanos, uno de 11 años al que supuestamente envenenó?",Cleopatra *,Salomé,Semiramis
,,,,,,
T182,3,Geografía Universal,Pregunta de alto consumo neuronal; cuál es el lago mas grande del mundo?,El Mar Caspio *,Lago Superior,Lago Ontario
,,,,,,
T182,4,"Artes, Deportes y Entretenimientos","¿Quién impuso en el 2014 el record de más goles anotados en Copas del Mundo , con 16, superando a Ronaldo?",Zinedine Zidane,Miroslav Klose *,Thomas Müller
,,,,,,
T182,5,Ciencias y Tecnología,"Por este proceso físico-químico las raíces de las plantas absorben sus nutrientes del suelo, a través de una membrana, proceso que se llama...",Diálisis,Ósmosis *,Fotosíntesis
,,,,,,
T182,6,Cultura General,"¿Quién fundó la Compañía de Jesús en 1534, con el fin no logrado de convertir al catolicismo a  los musulmanes de Tierra Santa?",Ignacio de Loyola *,Juan Bautista de la Salle,Tomás de Aquino
,,,,,,
T183,1,México,"Escribió sólo dos obras narrativas, y una de ellas, 'Pedro Páramo', ha sido la mas leída en el mundo, de un autor mexicano...",Juan Rulfo *,Bruno Traven,Mariano Azuela
,,,,,,
T183,2,Historia Universal,"Reina de Escocia, prima de Isabel I de Inglaterra , a quien ésta dio asilo, encerró 19 años y finalmente decapitó...",María Tudor,María Antonieta,María Estuardo *
,,,,,,
T183,3,Geografía Universal,"Holanda es conocido por el nombre de su principal región, pero oficialmente es 'Nederland', palabra que significa...",Tierras blancas,Tierras Bajas *,Tierras firmes
,,,,,,
T183,4,"Artes, Deportes y Entretenimientos","¿Qué atleta jamaiquino festejó su triunfo en los 100 metros planos antes de llegar a la meta, y aún así, batió el récord mundial en Beijing 2008?",David Payne,Usain Bolt *,Walter Dix
,,,,,,
T183,5,Ciencias y Tecnología,"¿Qué gas constituye casi cuatro quintos del volumen del aire atmosférico, o sea el 78% ?",Oxígeno,Hidrógeno,Nitrógeno *
,,,,,,
T183,6,Cultura General,"Hijo mayor de Noé, y hermano de Cam y Jafet, de quien segun la Biblia, descienden tanto los hebreos como los árabes...",Lot,Set,Sem *
,,,,,,
T184,1,México,"Su fuerte eran las parodias fílmicas, como: Chucho el Remendado, El Ceniciento, Simbad el mareado, La marca del zorrillo, hoy muy apreciadas...",Clavillazo,Germán Valdez 'Tin Tan' *,Resortes
,,,,,,
T184,2,Historia Universal,"La segunda parte del siglo V a.C. fue el cenit de la Grecia Clásica, gracias a qué gobernante ?",Filipo,Menelao,Pericles *
,,,,,,
T184,3,Geografía Universal,"Lago de 8,562 kilómetros cuadrados, situado a 3,812 metros sobre el nivel del mar, en el altiplano andino, y viene siendo el segundo en extensión en Sudamérica ?",Omega,Titicaca *,Maracaibo
,,,,,,
T184,4,"Artes, Deportes y Entretenimientos",¿Qué novel mariscal de campo se consagró al ganar el Super Bowl de 2020?,Lamar Jackson,Patrick Mahomes *,Jared Goff
,,,,,,
T184,5,Ciencias y Tecnología,¿La hembra de cuál de estos bichos tiene la fea costumbre de devorar literalmente al macho en pleno acto sexual?,Mantis religiosa *,Mosca escorpión,Caballito del diablo
,,,,,,
T184,6,Cultura General,"Es el templo católico mas grande, construido sobre  la tumba del primer Papa, donde se guardan sus restos mortales...",Abadía de Westminster,Catedral de Notre Dame,Basílica de San Pedro *
,,,,,,
T185,1,México,"Los principales productos de exportación de la Nueva España fueron la plata, el oro... y qué valioso insecto?",La abeja,La cochinilla *,La mariposa
,,,,,,
T185,2,Historia Universal,"Fue la civilización más desarrollada para el comercio de la Antiguedad, y la de los mejores navegantes de su tiempo...",Macedonia,Galia ,Fenicia *
,,,,,,
T185,3,Geografía Universal,"Nuestro planeta tiene 4,600 millones de años de existencia, qué proporción representa su edad con respecto a la del Universo?",20 %,66 %,33 % *
,,,,,,
T185,4,"Artes, Deportes y Entretenimientos","Dejó la medicina por la literatura, y así nacieron el célebre Sherlock Holmes y su amigo, el bondadoso y torpe Doctor Watson...",Jack London,Ian fleming,Arthur Conan Doyle *
,,,,,,
T185,5,Ciencias y Tecnología,"¿Qué planeta tiene un sistema de anillos, 82 satélites y es el segundo más grande del Sistema Solar?",Mercurio,júpiter,Saturno *
,,,,,,
T185,6,Cultura General,Enfermera británica conocida como El Angel de los heridos por su labor en pro de los caídos en la guerra de Crimea en 1854.,Helen Keller,Florence Nightingale *,Susan B.Anthony
,,,,,,
T186,1,México,"¿Qué país eliminó a México en el Mundial del 2018, dando al traste a nuestras esperanzas de ganar la Copa, o de llegar al menos al quinto partido ?",Brasil *,Holanda,Argentina
,,,,,,
T186,2,Historia Universal,¿Qué emperador persa resultó derrotado en la Batalla de Maratón?,Aníbal,Darío *,Seleuco
,,,,,,
T186,3,Geografía Universal,"¿En las aguas de qué lago no hay peligro de ahogarse, pues es tan salado que cualquiera puede flotar, aunque sea un bulto?",Mar Rojo,Mar Negro,Mar Muerto *
,,,,,,
T186,4,"Artes, Deportes y Entretenimientos",¿Cuál fue el primer equipo en ganar 6 Super Bowls?,Acereros *,Vaqueros,Empacadores
,,,,,,
T186,5,Ciencias y Tecnología,"Las raíces toman el agua del suelo y el tallo la transporta a la planta, por qué medio eliminan la que les sobra?",Por las ramas,Por las flores,Por las hojas *
,,,,,,
T186,6,Cultura General,¿En qué país se inició en 1966 una Revolución Cultural que fue en realidad una cacería de enemigos del régimen?,URSS,China *,India
,,,,,,
T187,1,México,Cerro próximo a la Ciudad de México donde el Cura Hidalgo tuvo su principal victoria militar en la Guerra de Independencia,Del Ajusco,De Las Cruces*,Del Chiquihuite
,,,,,,
T187,2,Historia Universal,Para lucirse:¿en qué isla de Grecia floreció la civilización minoica con capital en en la ciudad de Cnosos?,Chipre,Malta,Creta*
,,,,,,
T187,3,Geografía Universal,"Europa está muy bien comunicada por una extensa red fluvial , gracias a sus muchos rios.¿Cuál es el principal como medio de transporte?",Rin*,El Támesis,Po
,,,,,,
T187,4,"Artes, Deportes y Entretenimientos",¿Que seudónimo usó Samuel Langhome al escribir sus gustadas novelas de aventuras sobre Tom Sawyer y Hucleberry Finn?,Henry Miller,William Faulkner,Mark Twain*
,,,,,,
T187,5,Ciencias y Tecnología,"Órgano femenino hueco, aplanado, en forma de pera, localizado en la pelvis, donde se implanta el óvulo fecundado.",Urea,Uretra,Útero
,,,,,,
T187,6,Cultura General,"El primer ganador latinoamericano del Nobel de Literatura no fue un periodista llamado Gabriel, sino una periodista llamada Gabriela...",Storni,Pereda,Mistral*
,,,,,,
T188,1,México,¿Con cuantos títulos se puso el América a la cabeza de los campeones de liga del futbol mexicano en 2018?,11,13 *,15
,,,,,,
T188,2,Historia Universal,"Fundó el FBI en 1924 y durante 48 años, pasando por 7 presidentes, lo manejó como se le dió la gana ?",J. Edgar Hoover *,John Foster Dulles,Joseph McCarthy
,,,,,,
T188,3,Geografía Universal,Chile tiene un territorio en Oceanía; su nombre polinesio es Rapa-Nui pero nosotroslo conocemos como isla de...,Pentecostés,Pascua *,Navidad
,,,,,,
T188,4,"Artes, Deportes y Entretenimientos","Es el beisbolista con más juegos jugados en MLB,con más turnos al bat y con más hits en su haber, y no está en el Salón de la Fama...",Pete Rose *,"Cal Ripken, Jr.",Roberto Clemente
,,,,,,
T188,5,Ciencias y Tecnología,"Afección provocada por una exposición excesiva a muy bajas temperaturas, que puede causar el desprendimiento corporal de todo lo desprendible...",Geotermia,Hipotermia *,Diatermia
,,,,,,
T188,6,Cultura General,"En la mitología griega, qué mujeres guerreras solían mutilarse un seno para poder accionar mejor el arco y la flecha?",Amazonas *,Vestales,Náyades
,,,,,,
T189,1,México,"¿En qué lugar de Jalisco sufrió el Cura Hidalgo su peor derrota militar, hecho que lo obligó a huir rumbo a EEUU?",Puente de Alvarado,Puente de Calderón*,Puente de San Francisco
,,,,,,
T189,2,Historia Universal,"¿Qué ambicioso conquistador del imperio inca fue asesinado en 1541 por los partidarios de su exsocio Diego de Almagro, a quien ejecutó?",Francisco Pizarro,Hernando de Soto,Jerónimo de Aguilar
,,,,,,
T189,3,Geografía Universal,"La Ciudad de Nueva York está formada por cinco famosos sectores o distritos:Manhatan, Bronx,Queens Staten Island y...",Brooklyn*,Harlem,Coney Island
,,,,,,
T189,4,"Artes, Deportes y Entretenimientos","¿Qué comunidad autónoma española suprimió a partir de 2012 la fiesta brava, causando gran revuelo en el mundo taurino?",Cataluña*,Galicia,Andalucía
,,,,,,
T189,5,Ciencias y Tecnología,"Los roedores buscan alimentos todo el tiempo, con excepción de éste, que duerme hasta seis meses al año.",Lirón*,Perezoso,Capibara
,,,,,,
T189,6,Cultura General,"Alemania dejó de llamarse como tal entre 1919 y 1933, periodo en que adoptó el nombre de una de sus ciudades, ¿cuál?",Weimar*,Bonn,Düsseldorf
,,,,,,
T190,1,México,"¿En qué guerra, debida a la abusiva reclamación de un panadero francés, perdió Santa  Anna una pierna, que enterró con honores militares?",Guerra de las Galletas,Guerra de los pasteles *,Guerra de los bizcochos
,,,,,,
T190,2,Historia Universal,"¿Cuantos años duró la Revolución Cultural China, durante la cual se combatió y destruyó todo vestigio de la tradición de ese país?",10 años *,20 años,30años
,,,,,,
T190,3,Geografía Universal,"¿A cuántos Kms./hr. debe volar un avión, sobre el ecuador, para igualar la velocidad de rotación de la Tierra?","2,016","1,666 *","2,204"
,,,,,,
T190,4,"Artes, Deportes y Entretenimientos",¿C0n qué instrumento acompañaba el inolvidable Celso Piña sus sabrosas cumbias ?,La guitarra,La flauta,El acordeón *
,,,,,,
T190,5,Ciencias y Tecnología,"¿Cuáles son los animales vertebrados mas abundantes en número y especies, superando a todos los demás vertebrados juntos?",Los reptiles,Los peces *,Los mamíferos
,,,,,,
T190,6,Cultura General,Ninguna ley puede aplicarse con efectos retroactivos en perjuicio de nadie'; qué significa la palabra retroactivo? ,Traer el pasado al presente *,Llevar el presente al futuro.,Traer el futuro al presente. 
,,,,,,
T191,1,México,"El sueño de llegar a la final en el Mundial de 1970 terminó en Toluca, cuando cierto país nos recetó un feo 4-1; quién fue ?",Alemania,Argentina,Italia*
,,,,,,
T191,2,Historia Universal,"¿En que isla se refugió Napoleon Bonaparte cuando fue despojado del poder, de la que huyó para recuperarlo?",Elba *,Córcega,Santa Helena
,,,,,,
T191,3,Geografía Universal,"¿Qué mar, donde estuvieron supuestamente las pecadoras ciudades de Sodoma y Gomorra, es 6 veces mas salado que los demás?",Mar Muerto*,Mar Negro,Mar Rojo
,,,,,,
T191,4,"Artes, Deportes y Entretenimientos","Este genial músico barroco, murió ciego, dejando para la posteridad obras para clavicornio y órgano, misas, oratorios y...¡ 20 hijos!",Antonio Vivaldi,Richard Strauss,Johan Sebastian Bach *
,,,,,,
T191,5,Ciencias y Tecnología,"Elemento químico que abunda en los plátanos y el brócoli, cuyo símbolo es la letra K del latín Kolium",Litio ,Magnesio ,Potasio*
,,,,,,
T191,6,Cultura General,"¿Cómo se llama la saluida del Reino Unido de la UE, que casi provoca un soponcio mundial?",Brexit *,Bullit,Benelux
,,,,,,
T192,1,México,"¿Qué torero regiomontano salió a la plaza a darlo todo... o a que le aventaran de todo , de ahí su mote Ave de las tempestades?",Luis Procuna,Lorenzo Garza *,Manuel Capetillo
,,,,,,
T192,2,Historia Universal,"¿Qué conquistador tártaro, cuyo nombre significa en chino guerrero valeroso, fundó el imperio más extenso de la historia universal?",kublai Kan,Aga Kan,Gengis Kan *
,,,,,,
T192,3,Geografía Universal,"¿Qué país ocupa, con Chile, la parte más meridional, o sea la mas austral, o sea la más al sur de América ?",Brasil,Argentina *,Perú
,,,,,,
T192,4,"Artes, Deportes y Entretenimientos",¿A qué atleta norteamericano desplazó Usain Bolt en Londres 2012 como el mejor velocista de todos los tiempos ?,Ben Johnson,Jesse Owens ,Carl Lewis *
,,,,,,
T192,5,Ciencias y Tecnología,"Las glándulas suprarenales arrojan esta hormona al torente sanguíneo en situaciones de alerta, susto y estrés...",Tiroidina,Adrenalina *,Insulina
,,,,,,
T192,6,Cultura General,"¿Qué hermoso título póstumo aplicaron en su tiempo a Roger Bacon, uno de los precursores del método científico?",Maestro de los que saben,Doctor Admirable *,Padre de la ciencia
,,,,,,
T193,1,México,"¿Qué virey recién llegado firmó con Iturbide y Guerrero, sin permiso del rey, el Tratado de Córdova, dando fin a tres siglos de dominación española?",Juan O'Donojú *,José de Iturrigaray,Felix Ma. Calleja
,,,,,,
T193,2,Historia Universal,"De la Guerra Civil Española surgió un gobierno autoritario y represivo que duró hasta 1975, encabezado por...",Francisco Franco *,José Antonio Primo de Rivera,Luis Carrero Blanco
,,,,,,
T193,3,Geografía Universal,Isla de la Guayana Francesa que fue una prisión infernal para los reos que purgaban más de 8 años de cárcel...,Isla Dawson,Alcatraz,Isla del Diablo *
,,,,,,
T193,4,"Artes, Deportes y Entretenimientos","En los 14 años que fue financiado por una viuda rica que nunca conoció, compuso sus mejores obras, como  Obertura 1812...",Tchaikovski *,Rachmaninoff,Rimski-Korsakov
,,,,,,
T193,5,Ciencias y Tecnología,"Entre las aves de presa,figuran el halcón, el águila y ésta que habita solo en Sudamérica...",Albatros,Petrel,Cóndor *
,,,,,,
T193,6,Cultura General,"En la mitología griega, cómo se llamaban los supremos gobernantes del Universo, que poseían fuerza y estatura descomunales?",Titanes *,Atlantes,Tritones
,,,,,,
T194,1,México,"Este pintor tenía fascinación por los volcanes, especialmente por El Paricutín al que vió nacer en 1943 y plasmó en numerosos lienzos...",Doctor Atl *,Juan O'Gorman,Saturnino Herrán
,,,,,,
T194,2,Historia Universal,"En la II Guerra Mundial, participaron dos tercios de los países del mundo, incluyendo el nuestro. deduce o adivina cuantos fueron...",31,61 *,201
,,,,,,
T194,3,Geografía Universal,"¿Qué ciudad es la segunda mas desarrollada de Francia, y la capital del departamento del Ródano ?",Nancy,lyon *,El Havre
,,,,,,
T194,4,"Artes, Deportes y Entretenimientos","¿A qué equipo de EE.UU. llegó el Chicharito Hernández en 2020, procedente del Sevilla?",New York Red bulls,Chicago Fire,L.A. Galaxi *
,,,,,,
T194,5,Ciencias y Tecnología,"El sistema circulatorio conduce la sangre desde y hasta el corazón por las arterias, venas y vasos...",capilares *,linfáticos,comunicantes
T194,6,Cultura General,"¿En qué ciudad está la majestuosa  Puerta de Brandeburgo, inspirada en los propileos  ceremoniales de la Acrópolis de Atenas?",Viena,Amsterdam,Berlín *
,,,,,,
T195,1,México,"No debemos llamarnos más Nueva España, sino Nación Mexicana; quién lo dijo el 21 de Sepiembre de 1810?",José Ma. Morelos,Miguel Hidalgo y Costilla *,Vicente Guerrero
,,,,,,
T195,2,Historia Universal,"¿En qué conflicto bélico participo EE.UU. cinco años después de la II Guerra Mundial, cuando todavía olía a pólvora?",En Corea *,En Vietnam,En Medio Oriente
,,,,,,
T195,3,Geografía Universal,"¿Cuál es la segunda isla mas grande de las Antillas, donde se hablan el castellano y el francés con una frontera de pormedio ?",Jamaica,Puerto Rico,La Española *
,,,,,,
T195,4,"Artes, Deportes y Entretenimientos","En sus novelas predijo algunos de los grandes logros del siglo XX, por lo que se le conoce como el Padre de la Ciencia Ficción",George Orwell,Aldous Huxley,Julio Vene *
,,,,,,
T195,5,Ciencias y Tecnología,¿Cuáles el cuadrúpedo mas pequeño con menos de 10 mm. de largo? es un animal 'anuro' porque no tiene cola que le pisen...,Un mono araña,Una lagartija,Una rana *
,,,,,,
T195,6,Cultura General,"El tsunami más devastador de que se tiene memoria, ocurrido en 2004, mató incluso a 8 personas situadas a 8,000 Kms. de su orígen,en qué país?",Sudáfrica *,Turquía,Brasil
,,,,,,
T196,1,México,"¿Qué actriz fallecida en 2020 fue el amor platónico de Emilio 'Indio' Fernández; tanto, que le puso su nombre a una calle de Coyoacán? ",Joan Fontaine,Joan Crawford,Olivia de Havilland *
,,,,,,
T196,2,Historia Universal,"Ana Bolena tampoco dio a Enrique VIII un hijo para sucederlo,sino una hija, que también fue reina con el nombre de...",María,Victoria,Isabel *
,,,,,,
T196,3,Geografía Universal,"¿Qué explosión volcánica mató a 36,000 personas, se oyó a 4,800 kms. y levantó olas de hasta 35 mts.,extendidas 13,000 kms.?",Stromboli,Vesubio,krakatoa *
,,,,,,
T196,4,"Artes, Deportes y Entretenimientos","De haber sido tan buen religioso como músico, este sacerdote  italiano seguramente habría llegado a Papa",Antonio Vivaldi *,Maurice Ravel,Tomaso Albinoni
,,,,,,
T196,5,Ciencias y Tecnología,"En 1895 Wilheim C.Roentgen descubrió por accidente ciertas radiaciones de onda corta de naturaleza desconocida, a las que llamó...",Rayos Gama,Rayos laser,Rayos X *
,,,,,,
T196,6,Cultura General,"¿Qué son estas expresiones  'comer comida, subir arriba, salir afuera' ?",Barbarismos,Pleonasmo * (exceso o redundancia de palabras),Cacofonía
,,,,,,
T197,1,México,"¿En qué barco alemán se fue Porfirio Díaz del país, cuando México ardía en la revolución que él mismo provocó?",Ipiranga *,Novara,Ipanema
,,,,,,
T197,2,Historia Universal,"El segundo y el tercer presidente de los EE.UU. muieron el mismo día, el 4 de julio de 1826; en qué aniversario de su independencia?",50 *,25,40
,,,,,,
T197,3,Geografía Universal,¿Cuál es el extremo septentrional del eje de rotación de la Tierra?,Polo Norte *,El ecuador,Polo Sur
,,,,,,
T197,4,"Artes, Deportes y Entretenimientos","Célebre novela picaresca española de autor anónimo, sobre un mendigo ciego, que es un méndigo explotador de un jovencito?",Amadis de Gaula,El periquillo sarniento,lazarillo de Tormes *
,,,,,,
T197,5,Ciencias y Tecnología,"La abeja reina produce unos 2,000 huevecillos diarios y vive hasta 4 años; laabeja obrera no produce ninguno y vive solo...",6 días,6 meses,6 semanas *
,,,,,,
T197,6,Cultura General,¿En qué país había una Ciudad Prohibida donde vivieron a todo lujo los emperadores y la realeza durante 500 años?,Japón,Rusia,China *
,,,,,,
T198,1,México,"Fecha de 1821 que marca oficialmente el fin de la Guerra de Independencia de México, ttras 11 años de lucha...",13 de Octubre,11 de marzo,27 de septiembre *
,,,,,,
T198,2,Historia Universal,"¿Qué presidente definió la democracia como 'el gobierno del pueblo, por el pueblo y para  el pueblo ' en un célebre discurso?",Simón Bolívar,Charles De Gaulle,Abraham Lincoln *
,,,,,,
T198,3,Geografía Universal,"Isla antillana situada entre las penínsulas de Florida y Yucatán, en la entrada al Golfo de México...",Puero Rico,Cuba *,La Española
,,,,,,
T198,4,"Artes, Deportes y Entretenimientos",Beethoven compuso su más bella sinfonía completamente sordo y así dirigió la orquesta que la estrenó; cuál es?,Quinta,Novena *,Tercera
,,,,,,
T198,5,Ciencias y Tecnología,"El hígado es el órgano interno y la glándula más grande de nuestro cuerpo, entre cuyas funciones figura la secreción de...",Jugos gástricos,Enzimas,Bilis *
,,,,,,
T198,6,Cultura General,"No es una lengua romance, pero más de la mitad de las palabras de su vocabulario derivan del latín...",Frencés,Alemán ,Inglés *
,,,,,,
T199,1,México,"Fernando Valenzuela es el único pitcher mexicano que ha lanzado un juego sin hit ni carrera, en 1990, (Juego perfecto) contra qué equipo de la Liga Nacional?",Cardenales de San Luis *,Yanquis de Nueva York,Medias blancas de Boston
,,,,,,
T199,2,Historia Universal,"Después de EE.UU. y Canadá, cuál fue la principal colonia inglesa en América?",Trinidad y Tobago,Jamaica *,Honduras Británicas
,,,,,,
T199,3,Geografía Universal,"Isla de chinos, frente a China, con costas en el mar de China, donde se fundó la República Nacionalista China...",Hong Kong,Taiwan *,Cantón
,,,,,,
T199,4,"Artes, Deportes y Entretenimientos",¿En qué obra de Shakespeare está basado el argumento de la película 'El rey León'en   versión libre?,Hamlet *,Otelo,Romeo y Julieta
T199,5,Ciencias y Tecnología,"Los primeros invertebrados conocidos fueron los 'TRILOBITES', cuales fueron los primeros vertebrados conocidos ?",Los peces *,Los reptiles,Las aves
,,,,,,
T199,6,Cultura General,"¿En qué recipiente, donde desarrollan un mejor bouquet, terminan  de envejecer los buenos vinos ?",En una barrica,En un tonel,En la botella *
,,,,,,
T200,1,México,¿Qué antiguo amigo y subalterno del presidente Venustiano Carranza urdió un plan para derrocarlo que culminó con su asesinato en 1920?,Adolfo de la Huerta,Álvaro Obregón *,Plutarco Elías Calles
,,,,,,
T200,2,Historia Universal,"Célebre mariscal alemán que participó en una conjura para matar a Adolfo Hitler, y fue obligado a suicidarse...",Erwin Rommel *,Karl Dönitz,Alfred Jodl
,,,,,,
T200,3,Geografía Universal,¿Cuánto dura la noche invernal en las regiones polares?,Seis meses *,Seis semanas,Seis días
,,,,,,
T200,4,"Artes, Deportes y Entretenimientos","¿En qué mes se llevaron al cabo los Juegos Olímpicos de Rio 2016, en pleno invierno?",Junio,Septiembre,Agosto*
,,,,,,
T200,5,Ciencias y Tecnología,El plancton es un conjunto de organismos diminutos que flotan y se desplazan pasivamente en aguas dulces y saladas; a qué reino pertenecen?,Animal,Vegetal,Animal y vegetal *
,,,,,,
T200,6,Cultura General,"Personaje bíblico considerado como padre de los hebreos y, en cierta forma,como abuelo paterno de los árabes...",Moisés,David,Abraham *
,,,,,,
T201,1,México,"José Ma. Morelos y Pavón fue capturado en 1815 y luego de ser juzgado rigurosamente por la Inquisición, se le ajustició hincado y por la espalda en...",San Cristóbal Ecatepec *,Huehuetoca,Santa Clara
,,,,,,
T201,2,Historia Universal,"A raíz del ataque a Pearl Harbor, qué presidente de los EE.UU. ordenó la reclusión de 110, 000 japoneses y estadounidenses de ascendencia nipona?",Dwight D.Eisenhower,Harry S. Truman,Franklin D. Roosevelt *
,,,,,,
T201,3,Geografía Universal,"Cada año , los huracanes atacan con furia en el Mar Caribe y los tifones en el Mar de... ",China *,Coral,Arabia
,,,,,,
T201,4,"Artes, Deportes y Entretenimientos","¿Qué gran actor, protagonista de La Pantera Negra , falleció en 2020 a los 43 años de edad?",Chadwick Boseman *,Paul Walker,Andy Whitfield
,,,,,,
T201,5,Ciencias y Tecnología,"¿Qué elemento químico, descubierto en la misma década del planeta que inspiró su nombre, tiene el mayor peso atómico?",Plutonio,Uranio *,Mercurio
,,,,,,
T201,6,Cultura General,"¿Cómo se llama el recuerdo, grato o doloroso, de sucesos notables ocurrridos el día de hoy, pero de años anteriores?",Efemérides *,Onomástico,Aniversario
,,,,,,
T202,1,México,"Autor del vals Sobre las olas, que hizo bailar al país en tiempos de Porfirio díaz...",Juventino Rosas *,Alfonso Esparza Oteo,Maanuel M. Ponce
,,,,,,
T202,2,Historia Universal,"Fenicia fundó en África, en la actual Túnez, una ciudad protagonista de las célebres Batallas Púnicas; cuál fue?",Biblos,Esparta,Cartago *
,,,,,,
T202,3,Geografía Universal,"Pequeño país petrolero de Borneo, cuyo sultán presumía de ser el hombre más rico del mundo, hasta que aparecieron Bill Gates, Jeff Bezos, Elon Musk...",Dubai,Qatar,Brunei *
,,,,,,
T202,4,"Artes, Deportes y Entretenimientos","Único tenista,hombre o mujer, que ha ganado el Golden Slam, que incluye los 4 principales torneos más la medlla olímpica de oro en un mismo año...",Steffi Graf * ,Roger Federer,Martina Navratilova
,,,,,,
T202,5,Ciencias y Tecnología,¿Qué característica de los mamíferos los cataloga como animales  homeotermos?,Tienen pelo,Beben leche,Temperatura corporal uniforme *
,,,,,,
T202,6,Cultura General,"mucha gente duda o se equivoca al escribir a través, cuál es la forma correcta?",A travez,Através,A través *
,,,,,,
T203,1,México,"Entre los personajes de nuestra independencia  figuran no pocos sacerdotes como Miguel Hidalgo y Costilla, José Ma. Morelos y Pavón, Fray Servando Teresa de Mier y Mariano...",Matamoros *,Azuela,Abasolo
,,,,,,
T203,2,Historia Universal,¿Qué país fue liberado en 2011 de una dictadura de casi 30 años impuesta por Hosni Mubarak?,Siria,Egipto *,Túnez
,,,,,,
T203,3,Geografía Universal,"Isla principal de Europa y octava del mundo, donde se hospedan el 90% del Reino Unido y la Liga Premier...",Irlanda,Glasgow,Gran Bretaña *
,,,,,,
T203,4,"Artes, Deportes y Entretenimientos","Es quizá la mejor película de humor negro, con John Travolta, Uma Thurman, Bruce Willis, etc; dirigidos por Quentin Tarantino...",Pistolero,Tiempos violentos *,Por fin me la quite de encima
,,,,,,
T203,5,Ciencias y Tecnología,"Para determinar la superficie del rectángulo, se debe multiplicar base por altura. En la misma forma se determina el área de...",El romboide *,El cuadrado,el trapecio
,,,,,,
T203,6,Cultura General,"¿En qué momento empieza el día en el calendario musulmán, en tanto que el mes comienza después de la luna nueva?",Al atardecer *,Al mediodía,Al amanecer
,,,,,,
T204,1,México,"No es para alarmar a nadie, pero hasta cuánto tiempo pueden estar en el cargo los diputados y senadores con las nuevas reformas políticas?",12 años *,9 años,15 años
,,,,,,
T204,2,Historia Universal,"¿Con qué país firmó la Union Soviética un Tratado de No Agresión, en 1939, que le costó unos 20 millones de vidas?",China,Alemania *,Gran Bretaña
,,,,,,
T204,3,Geografía Universal,"Isla hawaiana donde se ubican la ciudad de Honolulu, la playa de Waikiki y la bahía de Pearl Harbor..",Oahu *,Maui,Kawai
,,,,,,
T204,4,"Artes, Deportes y Entretenimientos","Hoy día, ls genios de la música clásica no tendrían apuros económicos como los que padeció el autor de los Conciertos de Brandeburgo, llamado...",Richard Strauss,Richard Wagner,Johann Sebastian  Bach *
,,,,,,
T204,5,Ciencias y Tecnología,"¿En qué componente de las células residen los caracteres hereditarios, como el color del pelo, la forma de la nariz, el tono de voz, etc.?",Gen *,Citoplasma,Cigoto
,,,,,,
T204,6,Cultura General,"Es la tortuga mas grande, mide más de un metro, pesa 250 kilos, vive más de 150 años y es originaria de las islas homónimas...",Marianas,Comores,Galápagos *
,,,,,,
T205,1,México,"¿Qué personaje de nuestra independencia fue encarcelado 7 veces en México, España, Francia, Italia y Portugal,mismas que se fugó, al estilo Houdini?",Fray Servando Teresa de Mier *,Aquiles Serdán,Ricardo Flores Magón
,,,,,,
T205,2,Historia Universal,¿Qué presidente serbio ordenó la masacre de miles de musulmanes bosnios y de la población albanesa de  Kosovo?,Slobodan Milosevic *,Nicolae Ceausescu,Radovan Karadzic
,,,,,,
T205,3,Geografía Universal,Fue la segunda república en importancia de la URSS y hoy es el segundo país mas grande de Europa...,Georgia,Ucrania *,Bielorrusia
,,,,,,
T205,4,"Artes, Deportes y Entretenimientos",Entre sus cáusticas películas figuram algunas sobre judios neoyorquinos víctimas de neurosis amorosa y adictos al psiquiatra...,Danny DeVito,Joe Pesci,Woody Alen *
,,,,,,
T205,5,Ciencias y Tecnología,"El ingeniero italiano Antonio Meucci fue reconocido en 2002 por el Congreso de Estados Unidos, como el verdadero autor de este portentoso invento...",Teléfono *,Televisor,Computadora
,,,,,,
T205,6,Cultura General,"¡Silencio! ¿Cómo se llama este modo del verbo, que a veces se usa de muy mal modo?",Infinitivo,Subjuntivo,Imperativo *
,,,,,,
T206,1,México,¿Qué tesoro mexicano fue declarado por la UNESCO en 2010 Patrimonio Inmaterial de la Humanidad?,La gastronomía *,La charrería,La musica ranchera
,,,,,,
T206,2,Historia Universal,¿En que guerra amenazó Saddam Hussein con dar la 'Madre de todas las batallas' a la mas poderosa fuerza multinacional jamás reunida?,Irán-Irak,Ärabe- Israelí,Golfo Pérsico *
,,,,,,
